offspring_id known_id candidate_id session new_offspring_id id_flow
1.MO2.07_H3_R1_07 1.MO2.07 1.MO2.06 1.MO2 1.MO2.07_H3_R1_07 1.MO2.07_H3_R1
1.MO2.07_H3_R1_08 1.MO2.07 1.MO2.06 1.MO2 1.MO2.07_H3_R1_08 1.MO2.07_H3_R1
1.MO2.07_H3_R1_09 1.MO2.07 1.MO2.06 1.MO2 1.MO2.07_H3_R1_09 1.MO2.07_H3_R1
1.MO2.08_H1_R1_01 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R1_01 1.MO2.08_H1_R1
1.MO2.08_H1_R1_02 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_02 1.MO2.08_H1_R1
1.MO2.08_H1_R1_03 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_03 1.MO2.08_H1_R1
1.MO2.08_H1_R1_04 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_04 1.MO2.08_H1_R1
1.MO2.08_H1_R1_05 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_05 1.MO2.08_H1_R1
1.MO2.08_H1_R1_06 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R1_06 1.MO2.08_H1_R1
1.MO2.08_H1_R1_07 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_07 1.MO2.08_H1_R1
1.MO2.08_H1_R1_08 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_08 1.MO2.08_H1_R1
1.MO2.08_H1_R1_09 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_09 1.MO2.08_H1_R1
1.MO2.08_H1_R1_10 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R1_10 1.MO2.08_H1_R1
1.MO2.08_H1_R2_01 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_01 1.MO2.08_H1_R2
1.MO2.08_H1_R2_02 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R2_02 1.MO2.08_H1_R2
